"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BMY","Bristol-Myers Squibb Company","67.82","$113.14B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmy",
"BRS","Bristow Group Inc","29.26","$1.02B","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"BRX","Brixmor Property Group Inc.","25.09","$7.49B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brx",
"BR","Broadridge Financial Solutions, Inc.","55.85","$6.62B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BKD","Brookdale Senior Living Inc.","22.61","$4.18B","2005","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/bkd",
"BAM","Brookfield Asset Management Inc","34.34","$33.69B","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/bam",
"BOXC","Brookfield Canada Office Properties","19.66","$516.43M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/boxc",
"DTLA^","Brookfield DTLA Inc.","23.56","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dtla^",
"INF","Brookfield Global Listed Infrastructure Income Fund","13.31","$137.7M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/inf",
"HHY","Brookfield High Income Fund Inc.","7.02","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hhy",
"BIP","Brookfield Infrastructure Partners LP","41.97","$6.81B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/bip",
"BOI","Brookfield Mortgage Opportunity Income Fund Inc.","14.5","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/boi",
"BPY","Brookfield Property Partners L.P.","22.78","$5.98B","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/bpy",
"BEP","Brookfield Renewable Powerr Fund","25.76","$3.69B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bep",
"HTR","Brookfield Total Return Fund Inc.","21.74","$303.51M","1989","n/a","n/a","http://www.nasdaq.com/symbol/htr",
"BRO","Brown & Brown, Inc.","32.58","$4.59B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/bro",
"BF.A","Brown Forman Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bf.a",
"BF.B","Brown Forman Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bf.b",
"BRT","BRT Realty Trust","6.82","$96.17M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brt",
"BC","Brunswick Corporation","54.66","$4.98B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bc",
"BT","BT Group plc","74.21","$62.14B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bt",
"BPL","Buckeye Partners L.P.","66.63","$8.58B","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"BKE","Buckle, Inc. (The)","30.43","$1.48B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/bke",
"BVN","Buenaventura Mining Company Inc.","4.5","$1.14B","1996","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/bvn",
"BBW","Build-A-Bear Workshop, Inc.","12.16","$199.25M","2004","Consumer Services","Recreational Products/Toys","http://www.nasdaq.com/symbol/bbw",
"BG","Bunge Limited","65.52","$9.33B","2001","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bg",
"BURL","Burlington Stores, Inc.","44.3","$3.34B","2013","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/burl",
"BWXT","BWX Technologies, Inc.","29.41","$3.13B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwxt",
"CJES","C&J Energy Services, Ltd.","4.97","$598.11M","2015","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cjes",
"BCR","C.R. Bard, Inc.","187.43","$13.85B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"BNK","C1 Financial, Inc.","24.2","$389.64M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/bnk",
"GYB","CABCO Series 2004-101 Trust","20.7","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","18.038","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"CAB","Cabela&#39;s Inc","46.1","$3.2B","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"CABO","Cable One, Inc.","440.64","$2.58B","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CVC","Cablevision Systems Corporation","30.98","$8.57B","1986","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cvc",
"CBT","Cabot Corporation","41.46","$2.61B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cbt",
"COG","Cabot Oil & Gas Corporation","19.88","$8.23B","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CACI","CACI International, Inc.","98.79","$2.39B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CAE","CAE Inc","11.25","$3.03B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CAI","CAI International, Inc.","11.04","$223.25M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"CAA","CalAtlantic Group, Inc.","41.11","$4.98B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/caa",
"CAL","Caleres, Inc.","28.82","$1.26B","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/cal",
"CCC","Calgon Carbon Corporation","15.81","$813.52M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ccc",
"CRC","California Resources Corporation","3.82","$1.48B","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crc",
"CWT","California Water  Service Group Holding","21.9","$1.05B","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cwt",
"CALX","Calix, Inc","7.32","$371.93M","2010","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/calx",
"ELY","Callaway Golf Company","9.88","$888.44M","1992","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/ely",
"CPE","Callon Petroleum Company","9.2","$609.84M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe",
"CPE^A","Callon Petroleum Company","46.3113","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe^a",
"CPN","Calpine Corporation","14.64","$5.22B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cpn",
"CBM","Cambrex Corporation","50.18","$1.58B","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbm",
"CPT","Camden Property Trust","76.45","$6.64B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cpt",
"CCJ","Cameco Corporation","12.06","$4.77B","1996","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ccj",
"CAM","Cameron International Corporation","67.87","$12.96B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/cam",
"CPB","Campbell Soup Company","48.82","$15.12B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/cpb",
"CCG","Campus Crest Communities, Inc.","6.63","$429.34M","2010","Finance","Real Estate","http://www.nasdaq.com/symbol/ccg",
"CCG^A","Campus Crest Communities, Inc.","26.18","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ccg^a",
"CM","Canadian Imperial Bank of Commerce","75.01","$29.8B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/cm",
"CNI","Canadian National Railway Company","60.2","$47.9B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CNQ","Canadian Natural Resources Limited","24.69","$27.02B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cnq",
"CP","Canadian Pacific Railway Limited","149.24","$22.96B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CAJ","Canon, Inc.","30.52","$33.33B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CMN","Cantel Medical Corp.","64.47","$2.68B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cmn",
"COF","Capital One Financial Corporation","79.46","$42.28B","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/cof",
"COF.WS","Capital One Financial Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof.ws",
"COF^C","Capital One Financial Corporation","25.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cof^c",
"COF^D","Capital One Financial Corporation","26.77","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^d",
"COF^F","Capital One Financial Corporation","25.49","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^f",
"COF^P","Capital One Financial Corporation","25.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^p",
"CSU","Capital Senior Living Corporation","22.34","$659.45M","1997","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/csu",
"BXMT","Capital Trust, Inc.","27.8","$2.59B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxmt",
"CLA","Capitala Finance Corp.","25.75","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/cla",
"CMO","Capstead Mortgage Corporation","9.62","$921.83M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cmo",
"CMO^E","Capstead Mortgage Corporation","24.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmo^e",
"CRR","Carbo Ceramics, Inc.","16.18","$376.77M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/crr",
"CAH","Cardinal Health, Inc.","87.59","$28.82B","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/cah",
"CCP","Care Capital Properties, Inc.","31.1","$2.61B","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ccp",
"CRCM","Care.com, Inc.","6.52","$209.78M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/crcm",
"CSL","Carlisle Companies Incorporated","86.6","$5.63B","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/csl",
"KMX","CarMax Inc","57.41","$11.63B","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kmx",
